position,idleness,deallocated,lessThan10,moreThan10,preferences,professors
1,0.01366742596810934,0.0,0.0,NaN,0.0,0.9586206896551724
2,0.018223234624145785,0.0,0.0,NaN,0.0,0.4482758620689655
3,0.022779043280182234,0.0,0.0,NaN,0.0,0.9241379310344827
4,0.02050113895216401,0.0,0.0,NaN,0.0,0.9103448275862069
5,0.02050113895216401,0.0,0.0,NaN,0.0,0.7034482758620689
6,0.05922551252847381,0.0,0.0,NaN,0.0,0.6068965517241379
7,0.025056947608200455,0.0,0.0,NaN,0.0,1.0
8,0.11389521640091116,0.0,0.0,NaN,0.0,0.496551724137931
9,1.0,0.0,0.0,NaN,0.0,0.0
10,0.5945330296127562,0.0,0.25,NaN,0.0,0.18620689655172415
11,0.03644646924829157,0.0,0.0,NaN,0.0,0.9793103448275862
12,0.025056947608200455,0.0,0.0,NaN,0.0,0.9310344827586207
13,0.02733485193621868,0.0,0.0,NaN,0.2,0.4689655172413793
14,0.03416856492027335,0.0,0.0,NaN,0.0,0.5172413793103449
15,0.04100227790432802,0.0,0.0,NaN,0.4,0.43448275862068964
16,0.04328018223234624,0.0,0.25,NaN,0.8,0.3931034482758621
17,0.029612756264236904,0.0,0.0,NaN,0.0,0.7862068965517242
18,0.03644646924829157,0.0,0.0,NaN,0.0,0.9586206896551724
19,0.011389521640091117,0.0,0.0,NaN,0.0,0.9241379310344827
20,0.01366742596810934,0.0,0.0,NaN,0.0,0.45517241379310347
21,0.05011389521640091,0.0,0.0,NaN,0.0,0.8482758620689655
22,0.07061503416856492,0.0,0.0,NaN,0.0,0.47586206896551725
23,0.025056947608200455,0.0,0.0,NaN,0.0,0.4482758620689655
24,0.8382687927107062,0.0,0.0,NaN,0.0,0.05517241379310345
25,0.00683371298405467,0.0,0.0,NaN,0.2,0.6137931034482759
26,0.022779043280182234,0.0,0.25,NaN,0.0,0.5793103448275863
27,0.01366742596810934,0.0,0.0,NaN,0.6,0.4827586206896552
28,0.14123006833712984,0.0,0.0,NaN,0.0,0.2896551724137931
29,0.011389521640091117,0.0,0.0,NaN,0.0,0.8413793103448276
30,0.022779043280182234,0.0,0.0,NaN,0.0,0.47586206896551725
31,0.02050113895216401,0.0,0.0,NaN,0.0,0.8896551724137931
32,0.022779043280182234,0.0,0.0,NaN,0.0,0.6206896551724138
33,0.029612756264236904,0.0,0.0,NaN,0.0,0.6275862068965518
34,0.00683371298405467,0.0,0.0,NaN,0.0,0.9310344827586207
35,0.05011389521640091,0.0,0.0,NaN,0.0,0.5310344827586206
36,0.10250569476082004,0.0,0.0,NaN,0.0,0.32413793103448274
37,0.022779043280182234,0.0,0.0,NaN,0.0,0.4413793103448276
38,0.8883826879271071,0.6666666666666666,0.0,NaN,0.0,0.027586206896551724
39,0.025056947608200455,0.0,0.0,NaN,0.4,0.5517241379310345
40,0.00683371298405467,0.0,0.0,NaN,0.0,0.9379310344827586
41,0.04100227790432802,0.0,0.0,NaN,0.0,0.9241379310344827
42,0.009111617312072893,0.0,0.0,NaN,0.0,0.8758620689655172
43,0.018223234624145785,0.0,0.0,NaN,0.0,0.8
44,0.018223234624145785,0.0,0.0,NaN,0.0,0.9172413793103448
45,0.7813211845102506,1.0,0.0,NaN,0.0,0.034482758620689655
46,0.029612756264236904,0.0,0.0,NaN,0.0,0.903448275862069
47,0.029612756264236904,0.0,0.0,NaN,0.4,0.4206896551724138
